weight,age,height,size
66,49,162.56,L
58,50,162.56,L
61,33,162.56,L
52,29,167.64,XXS
64,34,175.26,L
54,51,167.64,S
52,22,154.94,S
68,49,180.34,XL
56,32,167.64,S
70,34,160.02,XL
55,38,162.56,S
70,24,162.56,XXXL
77,28,160.02,XXXL
56,39,167.64,M
72,40,175.26,XL
83,50,165.1,XXXL
68,29,160.02,XL
56,42,165.1,M
59,37,154.94,XL
77,31,175.26,XXXL
79,30,177.8,XXXL
77,34,162.56,L
54,34,165.1,S
61,33,177.8,M
63,33,165.1,XL
61,32,157.48,M
46,31,152.4,XXS
81,30,170.18,XXXL
58,35,162.56,M
52,30,165.1,S
61,26,170.18,M
53,37,170.18,XL
61,51,167.64,L
54,32,165.1,S
58,33,167.64,S
65,28,165.1,L
81,39,180.34,XXXL
54,30,165.1,XXS
74,36,170.18,XXXL
56,32,165.1,L
52,28,167.64,XXS
56,34,180.34,M
81,33,162.56,XXXL
63,29,170.18,M
54,32,160.02,L
61,34,162.56,L
61,34,165.1,L
65,37,160.02,L
50,32,162.56,XXS
58,35,170.18,S
58,34,175.26,S
52,47,160.02,M
58,53,160.02,M
90,40,170.18,XXXL
70,23,180.34,M
65,29,162.56,XL
55,26,162.56,S
58,25,167.64,XL
70,36,175.26,S
52,40,172.72,XXS
58,27,162.56,M
68,41,162.56,XXXL
57,28,165.1,S
65,36,165.1,XXXL
54,25,152.4,M
58,38,172.72,M
63,29,162.56,L
77,34,167.64,XXXL
65,29,170.18,XL
62,41,172.72,L
58,43,162.56,M
77,31,172.72,XXXL
65,40,177.8,XL
68,28,175.26,M
64,32,175.26,XL
52,34,167.64,S
58,40,170.18,M
61,32,172.72,M
63,38,172.72,M
68,28,167.64,XL
56,34,160.02,M
52,24,180.34,XXS
61,32,175.26,S
72,20,165.1,M
53,38,160.02,S
72,32,162.56,XL
63,30,172.72,M
56,45,165.1,L
65,25,152.4,XL
54,43,160.02,S
52,28,160.02,XXS
81,36,162.56,XXXL
84,31,165.1,XXXL
61,46,177.8,M
45,30,162.56,XXS
61,45,162.56,XL
54,36,157.48,M
57,44,157.48,M
56,48,165.1,M
58,43,170.18,S
52,28,162.56,S
56,30,165.1,S
52,29,154.94,S
52,35,160.02,S
58,32,175.26,M
58,29,152.4,M
79,30,162.56,XXXL
70,44,170.18,XXXL
56,41,162.56,S
55,34,154.94,M
63,27,170.18,M
58,27,157.48,M
55,29,162.56,S
72,35,165.1,XXXL
70,31,167.64,XL
52,40,157.48,S
58,32,160.02,L
58,29,160.02,M
54,31,162.56,XXS
55,26,162.56,S
68,31,167.64,XL
53,21,157.48,L
53,30,160.02,S
58,53,170.18,L
61,26,160.02,M
63,34,170.18,L
72,45,170.18,XXXL
62,54,167.64,L
65,37,172.72,XXXL
54,35,157.48,M
54,28,157.48,XXS
61,29,165.1,M
61,27,162.56,L
70,36,172.72,L
65,25,142.24,L
81,25,172.72,XXXL
65,39,167.64,L
65,24,167.64,L
53,49,162.56,XXS
46,59,157.48,XXS
54,32,170.18,XXS
56,43,172.72,M
68,30,152.4,XXXL
68,30,165.1,M
61,34,162.56,L
61,23,172.72,XL
61,39,170.18,L
61,25,165.1,S
72,33,172.72,XXXL
54,39,157.48,M
68,33,182.88,M
64,,172.72,M
54,27,165.1,S
63,35,167.64,L
68,29,160.02,XL
58,47,154.94,M
58,34,165.1,M
61,35,170.18,S
70,42,160.02,XL
58,25,175.26,S
77,39,175.26,XXXL
73,38,177.8,XXXL
65,33,167.64,XL
58,34,162.56,S
58,28,152.4,L
65,24,170.18,L
65,50,162.56,XL
97,43,162.56,XXXL
55,28,157.48,S
54,48,162.56,M
65,29,172.72,L
56,62,162.56,M
50,29,152.4,S
63,49,170.18,L
63,35,177.8,M
68,40,175.26,XXXL
53,58,172.72,M
53,32,154.94,M
68,29,172.72,L
65,40,170.18,L
56,36,167.64,M
53,33,154.94,S
58,28,157.48,M
65,38,180.34,L
55,35,167.64,S
52,35,167.64,XXS
74,42,167.64,XXXL
54,31,165.1,S
62,38,172.72,XL
52,30,167.64,XXS
79,51,167.64,XXXL
75,38,182.88,XXXL
65,34,170.18,M
65,36,157.48,XXXL
58,39,167.64,XL
68,34,167.64,XL
70,28,177.8,L
70,37,167.64,XXXL
45,25,157.48,XXS
65,25,167.64,XL
86,53,160.02,XXXL
50,43,152.4,M
58,49,157.48,L
53,29,167.64,S
43,44,157.48,S
58,32,162.56,M
54,27,172.72,S
72,30,157.48,XXXL
52,28,154.94,M
61,29,162.56,M
68,34,170.18,XXXL
58,42,170.18,L
48,30,160.02,XXS
56,31,152.4,L
54,27,165.1,M
61,25,162.56,M
70,33,160.02,XXXL
62,33,167.64,L
56,32,165.1,S
56,34,162.56,S
47,28,160.02,XXS
68,37,167.64,XL
58,37,162.56,S
61,41,160.02,L
56,29,167.64,XXS
56,33,165.1,M
81,38,187.96,XXXL
56,25,165.1,XL
61,29,165.1,M
65,37,172.72,L
72,29,172.72,XXXL
63,34,175.26,L
68,38,160.02,XXXL
46,31,157.48,XXS
58,40,162.56,M
64,27,165.1,M
65,19,167.64,L
49,31,162.56,S
55,43,170.18,S
70,31,167.64,XL
72,27,167.64,XL
56,30,160.02,M
58,26,162.56,M
62,31,167.64,XL
68,30,167.64,XL
63,28,172.72,XL
58,27,160.02,L
63,38,160.02,XL
56,26,162.56,M
58,30,165.1,S
63,24,170.18,M
52,50,162.56,S
65,31,167.64,XL
70,32,172.72,XXXL
58,31,172.72,M
67,29,172.72,XL
58,36,162.56,M
52,24,160.02,S
54,24,152.4,L
52,28,162.56,S
58,35,170.18,S
70,37,170.18,XXXL
49,25,165.1,XXS
62,30,167.64,M
74,31,162.56,XL
56,52,157.48,S
69,37,167.64,L
74,37,170.18,XXXL
58,35,160.02,XXXL
55,24,175.26,S
62,42,162.56,S
65,30,167.64,M
65,30,165.1,XXXL
57,20,170.18,M
56,48,165.1,S
58,31,170.18,M
61,32,170.18,M
61,36,175.26,L
52,42,162.56,S
58,33,165.1,M
74,36,175.26,XXXL
56,25,167.64,S
63,51,162.56,L
52,26,157.48,M
63,27,165.1,XL
65,29,167.64,L
61,34,165.1,M
52,55,157.48,M
78,37,175.26,XL
52,27,162.56,S
68,33,160.02,XL
56,47,160.02,M
65,29,172.72,L
64,17,162.56,XL
77,48,167.64,XXXL
56,32,162.56,S
50,31,162.56,XXS
63,39,157.48,L
65,28,172.72,XL
56,43,170.18,XXS
49,44,154.94,S
63,35,170.18,XL
57,35,162.56,M
56,20,167.64,M
56,26,167.64,M
54,28,167.64,M
64,27,165.1,M
90,39,167.64,XXXL
68,37,165.1,XL
56,38,167.64,S
54,46,162.56,L
56,28,160.02,S
63,27,172.72,L
61,45,172.72,M
47,26,157.48,XXS
49,26,162.56,S
61,29,165.1,XXXL
68,28,,XL
58,29,165.1,L
48,34,165.1,XXS
56,29,170.18,S
104,34,162.56,XXXL
58,32,165.1,M
54,28,170.18,M
54,47,165.1,M
62,33,170.18,M
65,28,165.1,XXXL
54,49,154.94,M
55,33,162.56,M
63,25,162.56,XL
58,28,167.64,M
48,26,154.94,S
52,29,157.48,S
61,34,170.18,XXXL
54,27,165.1,S
54,35,157.48,S
63,37,165.1,L
56,45,160.02,M
61,32,154.94,M
68,38,172.72,XL
63,50,177.8,L
71,23,162.56,XXXL
72,43,170.18,XXXL
63,39,175.26,XL
79,31,165.1,XXXL
58,41,162.56,XL
55,29,172.72,L
86,29,175.26,XXXL
72,36,172.72,XXXL
54,34,167.64,S
55,28,167.64,S
52,31,162.56,S
65,38,165.1,XL
72,39,160.02,XXXL
70,33,170.18,L
58,32,160.02,M
65,32,167.64,XXXL
49,41,154.94,XXS
49,40,154.94,XXXL
65,29,162.56,L
48,34,160.02,S
88,28,172.72,XXXL
54,22,162.56,S
60,26,157.48,M
53,40,162.56,M
53,30,167.64,S
53,30,170.18,S
56,50,160.02,XL
61,26,162.56,M
83,29,154.94,XXXL
52,40,157.48,S
70,39,160.02,XXXL
49,37,167.64,S
54,44,165.1,M
61,25,165.1,L
56,40,160.02,L
63,34,160.02,M
95,28,167.64,XXXL
65,29,160.02,M
56,35,167.64,S
58,30,172.72,S
53,38,157.48,S
61,20,165.1,M
47,36,160.02,S
61,41,167.64,M
63,38,165.1,XL
70,37,172.72,L
69,25,160.02,XXXL
55,23,172.72,S
52,33,165.1,XXS
65,35,160.02,XL
72,36,165.1,XXXL
63,55,167.64,XXXL
68,36,172.72,XXXL
54,33,175.26,XL
68,26,162.56,L
56,32,157.48,XL
61,31,157.48,L
51,25,162.56,XXS
51,35,160.02,XXS
61,26,157.48,L
56,50,157.48,M
72,46,157.48,XXXL
70,28,162.56,L
63,37,160.02,XL
53,35,160.02,S
92,23,182.88,XXXL
74,33,162.56,XXXL
78,38,172.72,XXXL
63,31,172.72,L
54,23,154.94,M
53,39,162.56,S
54,35,157.48,M
49,43,172.72,S
55,29,157.48,M
58,49,167.64,M
72,29,170.18,XXXL
63,46,170.18,L
56,29,162.56,S
52,31,162.56,M
47,34,149.86,XXS
63,60,167.64,XXXL
79,33,177.8,XXXL
70,24,165.1,XL
65,37,157.48,XL
52,35,167.64,S
52,37,162.56,XXS
58,35,165.1,M
52,31,157.48,S
61,30,154.94,XL
56,30,165.1,S
55,27,170.18,M
52,31,165.1,XXS
54,31,172.72,L
60,28,170.18,M
49,37,170.18,S
61,40,167.64,L
68,32,170.18,XXXL
61,25,162.56,XL
61,29,165.1,M
58,31,157.48,L
65,30,170.18,L
51,29,162.56,S
58,33,152.4,L
61,37,185.42,L
95,29,170.18,XXXL
77,31,172.72,XXXL
56,30,167.64,S
49,36,157.48,XXS
60,41,162.56,XL
65,25,180.34,XXXL
54,29,154.94,M
59,53,157.48,XL
52,29,162.56,S
49,26,170.18,S
81,30,172.72,XXXL
52,31,162.56,S
56,37,170.18,M
58,34,157.48,S
65,36,180.34,S
83,22,167.64,XL
72,30,162.56,XXXL
58,37,157.48,XL
68,29,175.26,XL
54,29,160.02,S
83,35,167.64,XXXL
73,45,154.94,XL
72,39,172.72,XL
58,38,157.48,XL
58,33,167.64,L
84,30,177.8,XXXL
58,37,167.64,L
61,27,177.8,M
58,31,162.56,XXS
61,28,170.18,M
53,36,165.1,S
56,35,165.1,M
57,29,162.56,M
66,34,175.26,L
51,38,157.48,S
76,28,175.26,XL
86,33,167.64,XXXL
67,33,170.18,XL
53,29,175.26,XXS
68,36,162.56,XL
64,61,162.56,XXXL
65,26,170.18,XL
52,26,167.64,XXS
63,29,167.64,M
58,35,157.48,L
58,45,167.64,M
65,33,160.02,L
58,32,162.56,S
70,21,175.26,L
63,27,162.56,L
70,27,167.64,XL
61,32,170.18,XL
61,26,162.56,S
56,,165.1,L
56,31,160.02,M
49,31,172.72,XXS
61,31,157.48,XXXL
44,33,152.4,XXS
60,25,165.1,L
56,28,157.48,M
64,58,165.1,M
48,35,157.48,S
54,26,160.02,S
54,36,167.64,S
57,26,167.64,M
77,51,170.18,XXXL
56,32,175.26,S
62,32,167.64,M
61,29,162.56,M
65,30,170.18,L
54,30,157.48,S
59,26,162.56,L
64,28,172.72,M
57,31,172.72,M
61,34,165.1,L
56,28,157.48,S
64,32,167.64,XL
49,38,162.56,XXS
61,26,157.48,M
81,31,167.64,XXXL
54,35,157.48,M
61,32,167.64,XL
61,28,162.56,M
65,37,160.02,XXXL
58,30,165.1,M
74,30,162.56,XXXL
55,31,167.64,S
54,32,177.8,S
49,38,160.02,S
58,27,162.56,M
58,35,160.02,L
48,46,160.02,S
52,25,167.64,XXXL
74,22,177.8,XL
61,38,172.72,L
72,34,162.56,S
63,32,172.72,M
56,22,162.56,S
70,39,165.1,XL
58,38,170.18,M
56,57,170.18,M
56,36,170.18,M
54,25,165.1,S
77,51,165.1,XXXL
77,35,160.02,XXXL
61,37,170.18,L
49,22,152.4,S
54,45,162.56,M
53,19,160.02,S
56,38,172.72,S
61,25,165.1,XL
56,29,170.18,S
65,34,165.1,L
58,22,165.1,S
65,36,157.48,XXXL
63,40,162.56,L
57,39,167.64,S
68,36,175.26,XXXL
61,30,162.56,L
56,31,157.48,M
58,30,157.48,M
54,42,170.18,M
58,27,160.02,M
77,37,170.18,XXXL
99,44,175.26,XXXL
58,33,165.1,S
61,30,177.8,XL
72,24,172.72,L
47,31,152.4,XXS
86,29,167.64,XXXL
74,40,167.64,XXXL
72,38,175.26,XXXL
74,40,175.26,XXXL
65,30,175.26,XL
49,33,170.18,XXS
58,37,177.8,M
53,30,160.02,S
54,25,165.1,M
83,29,182.88,XXXL
74,32,165.1,XXXL
63,27,165.1,XXXL
65,28,157.48,XL
45,30,162.56,S
56,35,162.56,M
65,42,167.64,XL
49,31,157.48,S
58,36,162.56,M
90,47,160.02,XXXL
56,28,170.18,S
57,40,160.02,M
65,24,170.18,M
58,31,167.64,L
58,32,167.64,S
61,43,157.48,XL
56,29,160.02,S
47,35,154.94,XXS
48,40,157.48,S
63,28,172.72,M
70,29,167.64,XL
54,47,162.56,M
77,51,157.48,XXXL
54,31,154.94,S
54,29,165.1,XXS
58,23,154.94,M
62,34,170.18,L
64,31,157.48,XXXL
58,28,170.18,M
45,25,170.18,XXS
48,35,157.48,XXS
55,28,160.02,L
54,29,154.94,S
61,36,162.56,XL
90,33,172.72,L
57,27,170.18,L
56,39,165.1,S
102,27,170.18,XXXL
70,58,170.18,XXXL
68,28,177.8,XL
61,46,165.1,M
65,38,162.56,L
58,27,157.48,M
70,28,162.56,XXXL
79,29,157.48,XXXL
68,34,162.56,L
49,24,167.64,S
58,36,157.48,XL
68,32,180.34,XL
58,33,162.56,L
78,33,177.8,XL
55,24,170.18,M
59,34,162.56,M
56,21,160.02,S
60,26,157.48,S
58,30,157.48,L
58,30,175.26,S
77,41,167.64,XXXL
63,32,170.18,L
56,33,162.56,M
65,26,160.02,M
57,26,162.56,M
43,34,147.32,XXS
56,26,154.94,S
53,53,160.02,M
64,37,167.64,L
90,32,165.1,XXXL
61,25,160.02,M
72,58,157.48,XXXL
81,31,167.64,XXXL
54,25,160.02,M
92,38,157.48,XXXL
48,38,167.64,XXS
70,36,165.1,XL
52,32,152.4,XXS
52,33,157.48,M
56,37,175.26,M
74,31,160.02,XXXL
56,31,162.56,S
61,43,165.1,XXXL
58,38,167.64,M
54,23,162.56,XXS
56,31,157.48,S
56,26,165.1,XL
63,35,170.18,L
57,30,162.56,S
61,27,177.8,S
61,31,172.72,M
63,52,165.1,XL
63,35,160.02,XL
40,19,160.02,XXS
70,48,175.26,XXXL
70,33,167.64,XXXL
68,30,170.18,XXXL
63,30,165.1,L
46,36,149.86,XXS
56,38,170.18,S
61,48,170.18,XL
61,30,170.18,XL
54,47,162.56,XXS
65,28,165.1,XL
58,30,165.1,S
65,29,172.72,L
58,29,165.1,L
65,29,165.1,M
55,29,160.02,S
68,31,165.1,XL
70,31,177.8,XL
63,28,167.64,L
56,29,172.72,M
60,37,167.64,S
52,28,162.56,S
61,33,165.1,M
45,29,147.32,XXS
79,36,175.26,XXXL
72,23,185.42,XL
47,40,152.4,S
68,26,177.8,M
61,31,162.56,XL
58,23,172.72,S
64,29,167.64,L
63,37,170.18,XL
55,29,154.94,M
58,37,170.18,M
58,30,160.02,M
61,30,170.18,M
58,39,157.48,XL
86,37,167.64,XXXL
55,33,167.64,M
54,47,160.02,L
52,35,167.64,S
58,30,165.1,M
68,27,167.64,XL
53,37,157.48,S
61,30,165.1,XL
79,33,175.26,XXXL
57,37,160.02,M
67,26,170.18,M
56,32,165.1,S
58,32,152.4,XL
72,32,167.64,XXXL
68,31,172.72,M
70,41,170.18,XXXL
70,32,170.18,XXXL
68,30,157.48,XL
54,25,162.56,M
54,38,172.72,M
54,27,175.26,XXS
56,22,165.1,L
59,28,,M
52,25,160.02,XXS
57,34,162.56,XL
54,29,167.64,XL
53,32,170.18,M
63,28,160.02,M
71,28,172.72,XL
74,23,180.34,L
77,36,175.26,XXXL
61,30,175.26,M
52,44,167.64,S
65,53,177.8,XL
65,47,170.18,XL
61,34,175.26,M
58,31,170.18,M
72,28,160.02,XXXL
56,35,165.1,M
65,27,167.64,M
95,33,165.1,XXXL
79,39,167.64,XXXL
58,31,167.64,XXXL
54,20,177.8,S
55,40,165.1,M
56,28,165.1,XL
86,27,,XXXL
65,24,157.48,XL
61,33,160.02,M
86,49,172.72,XXXL
61,43,170.18,M
57,45,160.02,XL
68,49,162.56,XL
50,57,162.56,S
58,30,160.02,S
64,28,175.26,XL
65,31,175.26,L
46,42,154.94,M
65,31,175.26,XL
56,25,154.94,M
65,29,165.1,XL
96,56,165.1,XXXL
54,38,154.94,S
67,46,165.1,XXXL
68,29,157.48,XL
63,36,170.18,M
62,32,172.72,L
58,46,162.56,L
59,33,167.64,M
52,29,162.56,XXS
74,31,162.56,XL
68,42,165.1,XL
58,30,167.64,M
65,34,162.56,XXXL
56,35,162.56,XXXL
108,29,160.02,XXXL
45,49,162.56,XXS
54,35,157.48,M
54,32,157.48,XXS
75,35,160.02,L
62,30,170.18,S
52,25,172.72,XXS
53,27,154.94,S
63,29,160.02,XL
73,28,180.34,XXXL
52,37,152.4,S
72,28,160.02,XL
56,26,167.64,M
56,27,160.02,S
53,34,162.56,M
61,34,157.48,L
86,39,170.18,XXXL
56,55,167.64,M
77,31,170.18,XL
61,30,160.02,M
62,34,167.64,L
58,32,167.64,M
63,26,170.18,XL
47,30,160.02,XXS
45,29,160.02,XXS
68,31,170.18,XL
83,36,165.1,XXXL
49,33,152.4,S
63,44,167.64,XL
54,51,162.56,XXS
97,34,167.64,XXXL
63,29,172.72,M
56,35,167.64,M
55,38,170.18,M
52,33,157.48,M
72,35,167.64,XXXL
61,30,170.18,S
63,34,157.48,XL
56,31,160.02,M
56,32,160.02,M
43,19,160.02,XXS
72,32,177.8,XL
58,28,167.64,L
64,32,172.72,XL
68,28,172.72,L
61,42,165.1,M
58,32,162.56,S
70,31,165.1,XL
58,26,157.48,M
68,31,167.64,XXXL
72,36,167.64,XL
56,24,165.1,XL
52,28,170.18,S
60,37,160.02,L
54,22,165.1,S
72,30,162.56,XL
65,30,165.1,L
50,31,154.94,S
74,27,154.94,M
83,35,170.18,XXXL
71,42,170.18,XXXL
60,62,157.48,L
63,29,157.48,L
58,46,175.26,M
86,32,170.18,XXXL
54,23,157.48,M
70,29,162.56,XXXL
49,24,160.02,S
70,36,175.26,XXXL
51,29,157.48,S
65,33,167.64,L
52,38,152.4,S
63,33,160.02,XXXL
54,32,147.32,L
77,46,167.64,XXXL
74,32,162.56,XXXL
64,40,162.56,XL
54,33,167.64,M
58,30,160.02,L
58,27,167.64,S
54,37,157.48,S
55,34,167.64,S
65,28,172.72,XL
61,27,162.56,L
68,35,152.4,XL
61,36,165.1,XL
57,53,170.18,M
68,34,175.26,M
70,36,170.18,XXXL
51,28,154.94,S
48,43,157.48,S
58,31,167.64,L
61,34,160.02,M
59,32,170.18,M
58,30,167.64,S
56,24,167.64,S
53,28,157.48,XXS
61,48,165.1,L
79,51,162.56,XXXL
58,34,165.1,S
56,37,162.56,S
81,38,175.26,XXXL
58,33,165.1,M
56,70,170.18,M
68,26,165.1,L
54,30,170.18,S
81,28,167.64,M
52,30,157.48,XL
63,35,167.64,XXXL
46,19,160.02,S
53,21,170.18,XXS
58,39,162.56,M
65,24,167.64,XL
54,40,162.56,S
49,61,157.48,S
65,39,157.48,M
56,51,165.1,L
49,27,154.94,XXS
65,35,165.1,L
61,42,177.8,M
83,25,177.8,XXXL
49,27,170.18,XXS
51,33,160.02,XXS
60,25,165.1,S
62,49,170.18,L
58,26,172.72,S
58,28,165.1,M
72,27,170.18,XXXL
52,29,170.18,S
89,54,170.18,XXXL
61,31,167.64,M
56,35,157.48,XL
88,24,162.56,XXXL
65,46,162.56,XXXL
54,40,162.56,S
58,33,170.18,M
72,46,172.72,XXXL
74,30,165.1,XXXL
61,32,170.18,L
63,33,175.26,L
65,27,160.02,XL
49,21,152.4,XXS
83,41,172.72,XXXL
56,31,170.18,S
54,28,170.18,S
58,22,170.18,S
61,30,165.1,M
65,38,162.56,XL
63,29,162.56,L
55,39,157.48,S
74,26,175.26,XXXL
55,26,170.18,M
53,31,160.02,XXS
58,33,167.64,L
49,36,157.48,XXS
61,33,160.02,M
61,30,157.48,M
79,33,177.8,XXXL
65,32,162.56,XXXL
56,32,162.56,S
68,31,180.34,L
58,25,165.1,M
54,31,162.56,M
58,36,167.64,S
49,32,157.48,S
61,39,165.1,M
70,26,162.56,XXXL
65,33,152.4,XXXL
49,26,157.48,XXS
74,48,165.1,XXXL
43,40,152.4,XXS
65,30,160.02,XL
57,25,154.94,M
63,45,157.48,L
46,28,157.48,XXS
54,28,160.02,M
52,34,160.02,XXS
57,33,157.48,XL
58,32,165.1,M
57,33,172.72,M
52,27,167.64,XXS
62,40,170.18,L
54,28,162.56,XXS
65,28,177.8,XL
61,30,167.64,M
72,38,172.72,XL
64,25,172.72,L
74,29,177.8,XL
65,27,175.26,M
54,23,170.18,S
54,29,160.02,S
67,33,165.1,XL
54,16,170.18,S
95,24,175.26,XXXL
68,35,167.64,XXXL
52,42,160.02,XXS
63,43,162.56,XXXL
68,32,165.1,XXXL
58,27,160.02,S
58,32,165.1,M
56,30,167.64,M
70,32,162.56,XXXL
51,36,162.56,XXS
86,55,162.56,XXXL
62,34,165.1,M
49,34,157.48,M
58,36,165.1,L
45,33,172.72,S
56,29,170.18,XXS
58,38,167.64,M
59,50,165.1,L
53,37,172.72,S
65,48,170.18,XL
58,34,167.64,XXXL
74,33,160.02,XXXL
54,31,160.02,S
63,,167.64,L
56,44,157.48,XL
59,30,160.02,M
73,41,172.72,XL
65,29,175.26,L
61,50,160.02,L
53,30,152.4,S
56,33,157.48,S
61,42,170.18,M
56,0,170.18,S
63,30,162.56,M
56,27,162.56,S
47,20,157.48,S
72,31,175.26,XXXL
62,32,170.18,M
65,24,170.18,M
56,36,162.56,M
58,26,167.64,M
58,33,165.1,M
56,35,170.18,S
70,41,167.64,XXXL
56,26,154.94,S
58,27,160.02,M
74,37,177.8,XL
74,32,165.1,XL
47,28,167.64,S
56,29,167.64,XL
77,34,182.88,XXXL
56,28,162.56,M
50,25,165.1,S
72,30,165.1,XXXL
76,34,162.56,L
69,33,165.1,XL
56,29,167.64,S
65,27,157.48,L
68,46,170.18,XXXL
68,50,160.02,XL
58,45,172.72,XL
62,50,170.18,L
